Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
BCL7A	BCL7	ENSG00000110987	BCL tumor suppressor 7A	12	122019422-122062044	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA019762	Approved		Approved	Nucleoplasm<br>Vesicles	Renal cancer:1.54e-6 (favourable), Liver cancer:2.04e-4 (unfavourable), Colorectal cancer:6.81e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 13.8	Cell line enhanced		Daudi: 37.3;U-698: 41.3
ATG4B	APG4B, AUTL1, DKFZp586D1822, KIAA0943	ENSG00000168397	Autophagy related 4B cysteine peptidase	2	241637213-241673857	Enzymes, Predicted intracellular proteins	Evidence at protein level	CAB037195, HPA069803	Approved		Approved	Nucleoplasm<br>Cytosol	Renal cancer:2.79e-4 (unfavourable), Colorectal cancer:6.85e-4 (unfavourable), Urothelial cancer:9.64e-4 (favourable)	Expressed in all	Expressed in all			testis: 44.0	Expressed in all		
ZFYVE27	FLJ32919, SPG33	ENSG00000155256	Zinc finger FYVE-type containing 27	10	97737121-97760907	Disease related genes, Predicted membrane proteins	Evidence at protein level	HPA037523, HPA069876	Approved		Approved	Nucleoplasm<br>Cytosol	Colorectal cancer:6.91e-4 (unfavourable), Stomach cancer:7.54e-4 (favourable), Urothelial cancer:7.80e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 33.3	Expressed in all		
ENO2		ENSG00000111674	Enolase 2	12	6913745-6923698	Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB000063, HPA068284, HPA068721, CAB073539, CAB079023	Enhanced	Supported	Supported	Plasma membrane<br>Cytosol	Renal cancer:7.89e-11 (unfavourable), Liver cancer:5.15e-4 (unfavourable), Colorectal cancer:6.96e-4 (unfavourable)	Expressed in all	Tissue enriched	7	cerebral cortex: 431.0	parathyroid gland: 64.8	Cell line enhanced		U-87 MG: 368.8
NEK8	NPHP9	ENSG00000160602	NIMA related kinase 8	17	28725897-28743455	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA040661, HPA040679	Approved				Lung cancer:4.52e-4 (favourable), Colorectal cancer:6.98e-4 (unfavourable)	Expressed in all	Mixed			thyroid gland: 9.7	Mixed		
STAC3	MGC2793	ENSG00000185482	SH3 and cysteine rich domain 3	12	57243453-57251193	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA039285, HPA039527			Enhanced	Nucleoplasm<br>Cytosol	Renal cancer:7.11e-6 (unfavourable), Cervical cancer:2.01e-4 (favourable), Colorectal cancer:7.10e-4 (unfavourable)	Expressed in all	Tissue enriched	24	skeletal muscle: 802.4	prostate: 34.1	Cell line enriched	26	RH-30: 2201.5
ABCA7	ABCX	ENSG00000064687	ATP binding cassette subfamily A member 7	19	1040101-1065572	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	HPA041564	Enhanced		Supported	Golgi apparatus<br>Plasma membrane<br>Cell Junctions	Endometrial cancer:1.12e-4 (favourable), Colorectal cancer:7.26e-4 (unfavourable)	Expressed in all	Mixed			spleen: 25.3	Cell line enhanced		HMC-1: 52.2
TLX1	HOX11, TCL3	ENSG00000107807	T-cell leukemia homeobox 1	10	101130505-101137789	Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level						Colorectal cancer:7.32e-4 (unfavourable)	Mixed	Tissue enriched	5	spleen: 31.3	salivary gland: 6.0	Cell line enhanced		HAP1: 4.1;K-562: 10.7;SH-SY5Y: 2.9
ENO3		ENSG00000108515	Enolase 3	17	4948092-4957131	Candidate cardiovascular disease genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA000793, HPA068284, HPA068721	Enhanced		Supported	Plasma membrane<br>Cytosol	Colorectal cancer:7.33e-4 (unfavourable)	Expressed in all	Tissue enriched	17	skeletal muscle: 5974.6	heart muscle: 350.1	Expressed in all		
FLNA	ABP-280, FLN, FLN1, OPD1, OPD2	ENSG00000196924	Filamin A	X	154348524-154374638	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	CAB000356, HPA000368, HPA001016, HPA001115, HPA002925	Enhanced	Approved	Enhanced	Plasma membrane<br>Actin filaments<br>Cytosol	Renal cancer:1.54e-6 (unfavourable), Urothelial cancer:3.88e-4 (unfavourable), Colorectal cancer:7.37e-4 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 1051.0	Expressed in all		
SHANK3	KIAA1650, prosap2, PSAP2, SPANK-2	ENSG00000251322	SH3 and multiple ankyrin repeat domains 3	22	50674415-50733298	Predicted intracellular proteins	Evidence at protein level	HPA003446, CAB079070	Enhanced	Approved			Colorectal cancer:7.40e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 2.7	Cell line enhanced		HEL: 3.8;TIME: 4.6
PKD1	PBP, Pc-1, TRPP1	ENSG00000008710	Polycystin 1, transient receptor potential channel interacting	16	2088710-2135898	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters	Evidence at protein level	CAB046448	Approved				Pancreatic cancer:3.38e-5 (favourable), Head and neck cancer:3.35e-4 (favourable), Colorectal cancer:7.43e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 21.6	Expressed in all		
ANGPTL4	ARP4, FIAF, HFARP, NL2, PGAR, pp1158	ENSG00000167772	Angiopoietin like 4	19	8363289-8374373	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA007879, CAB033770	Approved		Approved	Nucleoplasm<br>Vesicles	Renal cancer:1.34e-5 (unfavourable), Colorectal cancer:7.53e-4 (unfavourable), Lung cancer:9.50e-4 (unfavourable)	Expressed in all	Tissue enhanced		adipose tissue: 78.7	liver: 43.2	Cell line enhanced		HBEC3-KT: 161.5;TIME: 92.8;U-138 MG: 64.0
CD81	TAPA-1, TAPA1, TSPAN28	ENSG00000110651	CD81 molecule	11	2376177-2397419	CD markers, Disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters	Evidence at protein level	CAB002507, HPA007234	Supported		Supported	Plasma membrane	Glioma:5.12e-5 (unfavourable), Pancreatic cancer:3.86e-4 (favourable), Colorectal cancer:7.56e-4 (unfavourable)	Expressed in all	Expressed in all			seminal vesicle: 2273.0	Cell line enhanced		ASC diff: 2031.3
STAB1	CLEVER-1, FEEL-1, FELE-1, FEX1, KIAA0246, SCARH2, STAB-1	ENSG00000010327	Stabilin 1	3	52495338-52524495	Predicted membrane proteins	Evidence at protein level	HPA005434	Approved		Approved	Nucleoplasm<br>Plasma membrane<br>Cytosol	Renal cancer:3.88e-7 (unfavourable), Colorectal cancer:7.59e-4 (unfavourable)	Expressed in all	Expressed in all			spleen: 123.3	Group enriched	38	HUVEC TERT2: 86.2;NB-4: 93.1;TIME: 104.8
RRAGB		ENSG00000083750	Ras related GTP binding B	X	55717739-55758774	Predicted intracellular proteins	Evidence at protein level	HPA003734	Approved		Approved	Golgi apparatus<br>Vesicles	Lung cancer:3.64e-6 (favourable), Glioma:5.36e-5 (favourable), Colorectal cancer:7.60e-4 (unfavourable)	Expressed in all	Expressed in all			epididymis: 42.3	Expressed in all		
GAA		ENSG00000171298	Glucosidase alpha, acid	17	80101556-80119879	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA026970, HPA029126	Enhanced				Colorectal cancer:7.66e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 69.7	Mixed		
C1orf35	MGC4174, MMTAG2	ENSG00000143793	Chromosome 1 open reading frame 35	1	228100726-228105411	Predicted intracellular proteins	Evidence at protein level	HPA046175	Approved		Approved	Nuclear speckles<br>Plasma membrane<br>Cytosol	Renal cancer:1.79e-6 (unfavourable), Ovarian cancer:7.38e-4 (favourable), Colorectal cancer:7.71e-4 (unfavourable)	Expressed in all	Expressed in all			skin: 14.3	Expressed in all		
G0S2		ENSG00000123689	G0/G1 switch 2	1	209675420-209676388	Predicted intracellular proteins	Evidence at protein level						Glioma:2.22e-4 (unfavourable), Renal cancer:3.14e-4 (unfavourable), Colorectal cancer:7.72e-4 (unfavourable)	Expressed in all	Group enriched	5	adipose tissue: 956.0;bone marrow: 937.9;skeletal muscle: 240.5	appendix: 138.1	Cell line enhanced		ASC diff: 321.2;HBEC3-KT: 528.5;PC-3: 170.1;RPMI-8226: 166.8
FAM134A	C2orf17, MAG-2, MGC3035	ENSG00000144567	Family with sequence similarity 134 member A	2	219176225-219185479	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA011170, HPA011844	Approved		Approved	Cytosol	Liver cancer:1.49e-4 (unfavourable), Colorectal cancer:7.95e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 143.4	Expressed in all		
NRIP2	DKFZP761G1913	ENSG00000053702	Nuclear receptor interacting protein 2	12	2825348-2835544	Predicted intracellular proteins	Evidence at protein level	HPA039197, HPA039860	Enhanced		Approved	Nucleus<br>Nuclear bodies<br>Cytosol	Pancreatic cancer:8.69e-5 (favourable), Colorectal cancer:8.05e-4 (unfavourable)	Expressed in all	Mixed			endometrium: 12.4	Mixed		
KCTD7	CLN14, EPM3, FLJ32069	ENSG00000243335	Potassium channel tetramerization domain containing 7	7	66628767-66649067	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level						Pancreatic cancer:3.26e-4 (favourable), Colorectal cancer:8.07e-4 (unfavourable)	Expressed in all	Mixed			testis: 32.9	Expressed in all		
UCN	UI, UROC	ENSG00000163794	Urocortin	2	27307400-27308445	Predicted secreted proteins	Evidence at protein level	CAB010911	Approved		Approved	Endoplasmic reticulum	Renal cancer:1.84e-7 (unfavourable), Colorectal cancer:8.10e-4 (unfavourable)	Expressed in all	Mixed			cerebral cortex: 2.8	Cell line enhanced		U-266/70: 14.8
LZTS2	KIAA1813, LAPSER1	ENSG00000107816	Leucine zipper tumor suppressor 2	10	100996618-101007836	Predicted intracellular proteins	Evidence at protein level	HPA044956	Approved		Approved	Plasma membrane<br>Cytosol	Renal cancer:3.39e-4 (unfavourable), Colorectal cancer:8.23e-4 (unfavourable)	Expressed in all	Expressed in all			endometrium,seminal vesicle: 57.9	Expressed in all		
HOXD9	HOX4, HOX4C	ENSG00000128709	Homeobox D9	2	176122720-176124937	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA068683			Supported	Nucleus<br>Nucleoli	Liver cancer:1.08e-5 (unfavourable), Colorectal cancer:8.25e-4 (unfavourable), Head and neck cancer:9.58e-4 (favourable)	Expressed in all	Tissue enhanced		endometrium: 45.4	smooth muscle: 23.7	Cell line enhanced		HEK 293: 14.8;RPTEC TERT1: 14.2;SH-SY5Y: 23.1;TIME: 13.8
BATF	B-ATF, BATF1, SFA-2	ENSG00000156127	Basic leucine zipper ATF-like transcription factor	14	75522425-75547015	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA059588, HPA064962	Approved		Enhanced	Nucleoplasm	Renal cancer:3.74e-9 (unfavourable), Endometrial cancer:5.35e-6 (favourable), Head and neck cancer:7.91e-5 (favourable), Urothelial cancer:4.30e-4 (favourable), Colorectal cancer:8.30e-4 (unfavourable)	Expressed in all	Tissue enhanced		lymph node: 31.4	appendix: 26.5	Cell line enhanced		HDLM-2: 321.9;MCF7: 99.6;RT4: 64.2;U-937: 74.7
PLIN4	KIAA1881, S3-12	ENSG00000167676	Perilipin 4	19	4502180-4518465	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA044682, HPA054657	Enhanced		Supported	Vesicles<br>Lipid droplets<br>Plasma membrane<br>Cytosol	Endometrial cancer:2.31e-4 (unfavourable), Colorectal cancer:8.31e-4 (unfavourable)	Mixed	Tissue enriched	14	adipose tissue: 812.2	skeletal muscle: 59.1	Cell line enriched	7	ASC diff: 171.0
ZNF653	Zip67	ENSG00000161914	Zinc finger protein 653	19	11483427-11505923	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA023631, HPA023635	Uncertain		Supported	Nucleus	Endometrial cancer:4.15e-4 (favourable), Colorectal cancer:8.37e-4 (unfavourable), Urothelial cancer:8.74e-4 (favourable)	Expressed in all	Mixed			testis: 19.0	Expressed in all		
FOLR2		ENSG00000165457	Folate receptor beta	11	72216601-72221950	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level						Thyroid cancer:8.41e-4 (favourable), Colorectal cancer:8.42e-4 (unfavourable)	Expressed in all	Expressed in all			placenta: 235.4	Group enriched	6	Daudi: 2.6;U-698: 12.5
ITGA5	CD49e, FNRA	ENSG00000161638	Integrin subunit alpha 5	12	54395261-54419460	Cancer-related genes, CD markers, Plasma proteins, Predicted membrane proteins	Evidence at protein level	HPA002642, CAB009008	Enhanced				Renal cancer:1.32e-8 (unfavourable), Cervical cancer:4.07e-6 (unfavourable), Liver cancer:2.23e-5 (unfavourable), Lung cancer:2.44e-4 (unfavourable), Head and neck cancer:2.91e-4 (unfavourable), Colorectal cancer:8.43e-4 (unfavourable), Thyroid cancer:8.89e-4 (unfavourable)	Expressed in all	Expressed in all			smooth muscle: 489.0	Cell line enhanced		HUVEC TERT2: 1106.4;TIME: 1039.6;U-87 MG: 602.5
LCAT		ENSG00000213398	Lecithin-cholesterol acyltransferase	16	67939750-67944131	Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA044767			Approved	Nucleoplasm	Liver cancer:4.21e-8 (favourable), Renal cancer:1.71e-4 (unfavourable), Colorectal cancer:8.50e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 105.7	Cell line enhanced		BEWO: 73.6
NR2C2AP	TRA16	ENSG00000184162	Nuclear receptor 2C2 associated protein	19	19201416-19203424	Predicted intracellular proteins	Evidence at protein level	HPA042054, HPA055653	Approved		Enhanced	Nucleoplasm	Liver cancer:5.63e-5 (unfavourable), Thyroid cancer:1.65e-4 (favourable), Colorectal cancer:8.53e-4 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 24.0	Expressed in all		
KCTD13	FKSG86, PDIP1, POLDIP1	ENSG00000174943	Potassium channel tetramerization domain containing 13	16	29905012-29927035	Predicted intracellular proteins	Evidence at protein level	HPA043524	Enhanced		Supported	Nucleus<br>Nuclear bodies	Renal cancer:8.17e-4 (unfavourable), Colorectal cancer:8.54e-4 (unfavourable), Pancreatic cancer:9.05e-4 (favourable)	Expressed in all	Mixed			testis: 12.5	Mixed		
SLC2A3	GLUT3	ENSG00000059804	Solute carrier family 2 member 3	12	7919230-7936275	Predicted membrane proteins, Transporters	Evidence at protein level	CAB002763, HPA006539	Approved		Approved	Plasma membrane	Renal cancer:6.36e-8 (unfavourable), Stomach cancer:2.89e-5 (unfavourable), Colorectal cancer:8.58e-4 (unfavourable)	Tissue enriched	Tissue enhanced		bone marrow: 271.2	placenta: 138.7	Group enriched	7	BEWO: 1387.7;CACO-2: 1315.8;NTERA-2: 293.2
SF3A2	Prp11, PRPF11, SAP62, SF3a66	ENSG00000104897	Splicing factor 3a subunit 2	19	2236504-2248679	Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA042843, HPA049439	Enhanced		Approved	Nucleoplasm	Liver cancer:3.23e-5 (unfavourable), Renal cancer:2.07e-4 (unfavourable), Cervical cancer:7.16e-4 (favourable), Colorectal cancer:8.64e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 50.3	Expressed in all		
RUNX3	AML2, CBFA3, PEBP2A3	ENSG00000020633	Runt related transcription factor 3	1	24899511-24965121	Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA004195, CAB025416, HPA059006	Enhanced		Supported	Nucleus<br>Cytosol	Renal cancer:5.59e-5 (unfavourable), Colorectal cancer:8.71e-4 (unfavourable)	Expressed in all	Tissue enhanced		spleen: 50.5	bone marrow: 45.2	Cell line enhanced		HDLM-2: 125.1;Karpas-707: 125.3;SK-MEL-30: 77.0
OAZ2		ENSG00000180304	Ornithine decarboxylase antizyme 2	15	64687573-64703281	Predicted intracellular proteins	Evidence at protein level	HPA047694	Uncertain		Approved	Golgi apparatus	Colorectal cancer:9.05e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 118.1	Expressed in all		
KCNJ8	Kir6.1	ENSG00000121361	Potassium voltage-gated channel subfamily J member 8	12	21764955-21775581	Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters, Voltage-gated ion channels	Evidence at protein level	HPA031066	Uncertain				Renal cancer:1.62e-6 (unfavourable), Colorectal cancer:9.29e-4 (unfavourable)	Expressed in all	Mixed			seminal vesicle: 32.0	Cell line enhanced		CACO-2: 71.9;SH-SY5Y: 31.1
TRAF2	TRAP3	ENSG00000127191	TNF receptor associated factor 2	9	136881912-136926607	Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	CAB004603, HPA009972, HPA010634	Uncertain		Enhanced	Cytosol	Renal cancer:2.09e-4 (unfavourable), Liver cancer:3.06e-4 (unfavourable), Colorectal cancer:9.32e-4 (unfavourable)	Expressed in all	Expressed in all			lymph node: 22.5	Expressed in all		
PHF2	CENP-35, JHDM1E, KDM7C, KIAA0662	ENSG00000197724	PHD finger protein 2	9	93576407-93679587	Predicted intracellular proteins	Evidence at protein level	HPA010831	Approved				Renal cancer:1.12e-5 (favourable), Colorectal cancer:9.34e-4 (unfavourable)	Expressed in all	Expressed in all			endometrium: 30.7	Expressed in all		
KRI1	FLJ12949	ENSG00000129347	KRI1 homolog	19	10553078-10566037	Predicted intracellular proteins	Evidence at protein level	HPA043110, HPA043574	Approved		Enhanced	Nucleoli	Renal cancer:4.89e-10 (unfavourable), Liver cancer:1.21e-4 (unfavourable), Colorectal cancer:9.37e-4 (unfavourable)	Expressed in all	Expressed in all			appendix: 26.6	Expressed in all		
SIPA1	SPA1	ENSG00000213445	Signal-induced proliferation-associated 1	11	65638097-65650930	Predicted intracellular proteins	Evidence at protein level	CAB020833, HPA039867	Enhanced		Approved	Nucleus<br>Nucleoli<br>Golgi apparatus<br>Plasma membrane	Renal cancer:3.52e-6 (unfavourable), Colorectal cancer:9.42e-4 (unfavourable)	Expressed in all	Tissue enhanced		spleen: 99.7	lymph node: 71.0	Expressed in all		
CSAD	CSD, PCAP	ENSG00000139631	Cysteine sulfinic acid decarboxylase	12	53157663-53180909	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA039487	Approved				Renal cancer:1.93e-6 (unfavourable), Urothelial cancer:6.81e-6 (favourable), Liver cancer:1.37e-4 (favourable), Pancreatic cancer:3.39e-4 (favourable), Head and neck cancer:6.33e-4 (favourable), Colorectal cancer:9.50e-4 (unfavourable)	Expressed in all	Expressed in all			skin: 70.7	Cell line enhanced		ASC diff: 57.9;T-47d: 49.5
TUT1	FLJ21850, FLJ22267, FLJ22347, PAPD2, RBM21, TUTase	ENSG00000149016	Terminal uridylyl transferase 1, U6 snRNA-specific	11	62575045-62592177	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA069055, HPA071838			Supported	Nucleus<br>Cytosol	Colorectal cancer:9.51e-4 (unfavourable)	Expressed in all	Expressed in all			fallopian tube: 17.8	Expressed in all		
AGAP3	CENTG3	ENSG00000133612	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3	7	151085831-151144436	Predicted intracellular proteins	Evidence at protein level	HPA012883	Approved				Renal cancer:8.58e-5 (unfavourable), Liver cancer:6.21e-4 (unfavourable), Colorectal cancer:9.52e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 92.5	Mixed		
SCAF1	FLJ00034, SR-A1	ENSG00000126461	SR-related CTD associated factor 1	19	49642125-49658642	Predicted intracellular proteins	Evidence at protein level	HPA046828, HPA054593	Approved		Approved	Nucleoplasm<br>Cytosol	Colorectal cancer:9.59e-4 (unfavourable)	Expressed in all	Expressed in all			cerebral cortex: 51.6	Expressed in all		
CLASRP	CLASP, SFRS16, SWAP2	ENSG00000104859	CLK4 associating serine/arginine rich protein	19	45039040-45070956	Predicted intracellular proteins	Evidence at protein level	HPA060469, HPA062455	Approved		Enhanced	Nucleus	Renal cancer:1.69e-8 (unfavourable), Urothelial cancer:1.02e-5 (favourable), Colorectal cancer:9.77e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 11.9	Expressed in all		
NR1H2	LXR-b, NER, NER-I, RIP15, UNR	ENSG00000131408	Nuclear receptor subfamily 1 group H member 2	19	50329653-50382982	Cancer-related genes, Nuclear receptors, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA056838, HPA070212	Uncertain		Approved	Nucleoplasm	Colorectal cancer:9.86e-4 (unfavourable)	Expressed in all	Expressed in all			bone marrow: 87.6	Expressed in all		
C9orf16	EST00098, FLJ12823, MGC4639	ENSG00000171159	Chromosome 9 open reading frame 16	9	128160260-128163928	Predicted intracellular proteins	Evidence at protein level	HPA020725	Uncertain		Approved	Microtubules	Liver cancer:3.13e-5 (unfavourable), Cervical cancer:7.60e-4 (favourable), Colorectal cancer:9.91e-4 (unfavourable)	Expressed in all	Expressed in all			adrenal gland: 151.4	Expressed in all		
PHKG2		ENSG00000156873	Phosphorylase kinase catalytic subunit gamma 2	16	30748270-30761176	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA065618, HPA068751			Supported	Cytosol	Lung cancer:1.90e-4 (favourable), Cervical cancer:7.90e-4 (favourable), Pancreatic cancer:8.02e-4 (favourable), Colorectal cancer:9.92e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 149.4	Expressed in all		
SERPING1	C1-INH, C1IN, C1NH, HAE1, HAE2	ENSG00000149131	Serpin family G member 1	11	57597387-57614853	Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB026161, HPA048738	Supported				Renal cancer:1.55e-4 (unfavourable), Ovarian cancer:8.03e-4 (favourable), Colorectal cancer:9.96e-4 (unfavourable)	Expressed in all	Expressed in all			liver: 1365.0	Group enriched	5	ASC diff: 881.8;ASC TERT1: 462.5;HSkMC: 802.1
