Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Prognostic p-value	RNA cancer category	RNA tissue category	RNA TS	RNA TS TPM	TPM max in non-specific	RNA cell line category	RNA CS	RNA CS TPM
SRP72		ENSG00000174780	Signal recognition particle 72	4	56466915-56503680	Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters	Evidence at protein level	HPA034621	Approved				Liver cancer:3.25e-6 (unfavourable), Colorectal cancer:3.83e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 89.0	Expressed in all		
F2RL1	GPR11, PAR2	ENSG00000164251	F2R like trypsin receptor 1	5	76818933-76835315	G-protein coupled receptors, Predicted membrane proteins, Transporters	Evidence at protein level	CAB012989, HPA014091	Approved		Approved	Plasma membrane	Renal cancer:5.86e-7 (favourable), Colorectal cancer:3.88e-4 (favourable), Head and neck cancer:5.88e-4 (unfavourable), Lung cancer:8.92e-4 (unfavourable)	Expressed in all	Mixed			colon: 58.9	Cell line enhanced		PC-3: 113.9;RPTEC TERT1: 152.3
PANK3	FLJ12899	ENSG00000120137	Pantothenate kinase 3	5	168548495-168579600	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA062358			Approved	Nucleoplasm<br>Golgi apparatus	Colorectal cancer:3.94e-4 (favourable)	Expressed in all	Expressed in all			duodenum: 40.8	Expressed in all		
INTS10	C8orf35, FLJ10569, INT10	ENSG00000104613	Integrator complex subunit 10	8	19817140-19852083	Predicted intracellular proteins	Evidence at protein level	HPA039129, HPA050570	Uncertain		Approved	Nucleoplasm<br>Cytosol	Endometrial cancer:1.22e-4 (favourable), Colorectal cancer:4.00e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 64.9	Expressed in all		
R3HCC1	DKFZp564N123	ENSG00000104679	R3H domain and coiled-coil containing 1	8	23270120-23296279	Predicted intracellular proteins	Evidence at protein level	HPA023073, HPA023153	Uncertain		Approved	Nucleoplasm<br>Cytosol	Renal cancer:6.80e-5 (favourable), Colorectal cancer:4.08e-4 (favourable), Pancreatic cancer:8.66e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 43.0	Expressed in all		
COPS4	CSN4	ENSG00000138663	COP9 signalosome subunit 4	4	83034447-83075818	Predicted intracellular proteins	Evidence at protein level	HPA036894, HPA042828	Uncertain		Supported	Nuclear speckles	Renal cancer:5.21e-6 (favourable), Colorectal cancer:4.14e-4 (favourable)	Expressed in all	Expressed in all			testis: 79.0	Expressed in all		
ARMT1	C6orf211, FLJ12910	ENSG00000146476	Acidic residue methyltransferase 1	6	151452258-151470101	Predicted intracellular proteins	Evidence at protein level	HPA003004, HPA005819	Uncertain		Approved	Nucleus<br>Nuclear bodies<br>Cytosol	Colorectal cancer:4.14e-4 (favourable), Cervical cancer:7.09e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 42.6	Expressed in all		
CD48	BCM1, BLAST, hCD48, mCD48, SLAMF2	ENSG00000117091	CD48 molecule	1	160678746-160711851	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB002497, HPA055146	Enhanced		Supported	Nucleoli fibrillar center<br>Plasma membrane<br>Cytosol	Renal cancer:3.36e-4 (unfavourable), Breast cancer:3.91e-4 (favourable), Colorectal cancer:4.17e-4 (favourable)	Expressed in all	Tissue enhanced		lymph node: 311.4;spleen: 213.1;tonsil: 226.0	appendix: 148.5	Cell line enhanced		Daudi: 153.4;HMC-1: 202.6;U-266/70: 372.1;U-266/84: 244.7
ZNF644	BM-005, KIAA1221, MGC60165, MGC70410	ENSG00000122482	Zinc finger protein 644	1	90915298-91022272	Disease related genes, Predicted intracellular proteins, Transcription factors	Evidence at protein level	HPA057795	Uncertain		Uncertain	Vesicles	Colorectal cancer:4.27e-4 (favourable), Endometrial cancer:8.39e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 31.0	Expressed in all		
COX11	COX11P	ENSG00000166260	COX11, cytochrome c oxidase copper chaperone	17	54951902-54968785	Predicted membrane proteins	Evidence at protein level	HPA044020	Approved				Colorectal cancer:4.30e-4 (favourable)	Expressed in all	Expressed in all			duodenum: 60.8	Expressed in all		
PSMD12	p55, Rpn5	ENSG00000197170	Proteasome 26S subunit, non-ATPase 12	17	67337916-67366627	Predicted intracellular proteins	Evidence at protein level	HPA023119	Enhanced		Approved	Nucleus<br>Microtubules<br>Cytosol	Renal cancer:4.73e-6 (unfavourable), Liver cancer:1.21e-4 (unfavourable), Colorectal cancer:4.39e-4 (favourable), Ovarian cancer:6.32e-4 (favourable)	Expressed in all	Expressed in all			testis: 26.2	Expressed in all		
TXNDC12	AGR1, ERP18, ERP19, hAG-1, PDIA16, TLP19	ENSG00000117862	Thioredoxin domain containing 12	1	52020131-52056171	Enzymes, Plasma proteins, Predicted secreted proteins	Evidence at protein level						Renal cancer:1.40e-12 (unfavourable), Liver cancer:1.28e-5 (unfavourable), Head and neck cancer:2.61e-4 (unfavourable), Colorectal cancer:4.44e-4 (favourable)	Expressed in all	Expressed in all			fallopian tube: 49.8	Expressed in all		
CXCL14	BMAC, bolekine, BRAK, Kec, KS1, MIP-2g, NJAC, SCYB14	ENSG00000145824	C-X-C motif chemokine ligand 14	5	135570679-135579279	Predicted secreted proteins	Evidence at protein level	CAB029996	Uncertain				Cervical cancer:1.71e-4 (favourable), Colorectal cancer:4.52e-4 (favourable)	Expressed in all	Tissue enhanced		skin: 874.5	kidney: 335.8	Group enriched	12	HAP1: 60.3;hTCEpi: 55.4;RPTEC TERT1: 157.5;U-2 OS: 88.6
HSPA9	GRP75, HSPA9B, mot-2, mthsp75, PBP74	ENSG00000113013	Heat shock protein family A (Hsp70) member 9	5	138554882-138575444	Disease related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA000898, CAB005219	Enhanced		Enhanced	Mitochondria	Breast cancer:2.93e-4 (unfavourable), Colorectal cancer:4.53e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 263.5	Expressed in all		
GALNT7	GALNAC-T7	ENSG00000109586	Polypeptide N-acetylgalactosaminyltransferase 7	4	173168753-173323967	Predicted intracellular proteins	Evidence at protein level	HPA064243, HPA065317	Enhanced		Enhanced	Nucleus<br>Golgi apparatus	Colorectal cancer:4.53e-4 (favourable), Pancreatic cancer:7.65e-4 (unfavourable)	Expressed in all	Mixed			stomach: 62.9	Mixed		
CEP41	DKFZp762H1311, FLJ22445, JBTS15, TSGA14	ENSG00000106477	Centrosomal protein 41	7	130393771-130442433	Disease related genes, Predicted intracellular proteins	Evidence at protein level	HPA024090	Uncertain				Colorectal cancer:4.54e-4 (favourable)	Expressed in all	Tissue enhanced		testis: 80.5	salivary gland: 18.1	Mixed		
LRRC40	FLJ20331	ENSG00000066557	Leucine rich repeat containing 40	1	70144805-70205620	Predicted intracellular proteins	Evidence at protein level	HPA026564	Approved		Approved	Nucleoli	Colorectal cancer:4.54e-4 (favourable)	Expressed in all	Expressed in all			testis: 21.7	Expressed in all		
PATL1	FLJ36874, Pat1b	ENSG00000166889	PAT1 homolog 1, processing body mRNA decay factor	11	59636716-59668980	Predicted intracellular proteins	Evidence at protein level	HPA039030	Uncertain		Supported	Cytoplasmic bodies	Pancreatic cancer:2.04e-4 (unfavourable), Colorectal cancer:4.56e-4 (favourable)	Expressed in all	Expressed in all			bone marrow: 37.0	Expressed in all		
TIGD2		ENSG00000180346	Tigger transposable element derived 2	4	89111500-89114899	Predicted intracellular proteins	Evidence at protein level	HPA054844, HPA071168	Uncertain		Approved	Nuclear bodies	Colorectal cancer:4.59e-4 (favourable), Urothelial cancer:7.02e-4 (favourable)	Expressed in all	Mixed			parathyroid gland: 18.0	Expressed in all		
UBE2Z	FLJ13855, USE1	ENSG00000159202	Ubiquitin conjugating enzyme E2 Z	17	48908369-48929056	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA007922	Approved		Supported	Nucleoplasm<br>Cytosol	Renal cancer:1.05e-4 (unfavourable), Colorectal cancer:4.62e-4 (favourable), Liver cancer:5.57e-4 (unfavourable)	Expressed in all	Expressed in all			thyroid gland: 82.7	Expressed in all		
F2RL2	PAR3	ENSG00000164220	Coagulation factor II thrombin receptor like 2	5	76615482-76623434	G-protein coupled receptors, Predicted membrane proteins	Evidence at protein level						Colorectal cancer:4.69e-4 (favourable)	Mixed	Tissue enhanced		gallbladder: 10.9	smooth muscle: 5.6	Cell line enhanced		BJ hTERT+: 43.2;HEL: 65.9;hTEC/SVTERT24-B: 34.7;U-138 MG: 52.8;WM-115: 67.6
DR1	NC2-BETA, NC2B	ENSG00000117505	Down-regulator of transcription 1	1	93345888-93369498	Predicted intracellular proteins	Evidence at protein level	HPA050785, HPA055308	Enhanced		Supported	Nucleus	Liver cancer:9.95e-7 (unfavourable), Colorectal cancer:4.79e-4 (favourable), Renal cancer:7.23e-4 (unfavourable), Pancreatic cancer:9.11e-4 (unfavourable)	Expressed in all	Expressed in all			testis: 102.1	Expressed in all		
PRKD3	EPK2, PRKCN	ENSG00000115825	Protein kinase D3	2	37250502-37324808	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA029529	Uncertain		Supported	Nucleoplasm<br>Cytosol	Liver cancer:3.47e-4 (unfavourable), Colorectal cancer:4.84e-4 (favourable)	Expressed in all	Expressed in all			testis: 44.4	Expressed in all		
ALG6		ENSG00000088035	ALG6, alpha-1,3-glucosyltransferase	1	63367590-63438562	Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins	Evidence at protein level	HPA062536			Supported	Endoplasmic reticulum	Renal cancer:2.63e-6 (unfavourable), Colorectal cancer:4.86e-4 (favourable), Liver cancer:9.46e-4 (unfavourable)	Expressed in all	Mixed			placenta: 11.9	Expressed in all		
RFFL	CARP-2, CARP2, fring, rififylin, RNF189, RNF34L	ENSG00000092871	Ring finger and FYVE like domain containing E3 ubiquitin protein ligase	17	35005990-35089319	Enzymes, Predicted intracellular proteins	Evidence at protein level	CAB008096, HPA017910, HPA019492	Approved		Approved	Vesicles	Renal cancer:2.43e-5 (unfavourable), Colorectal cancer:4.92e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 54.1	Expressed in all		
MIER1	hMI-ER1, KIAA1610, MI-ER1	ENSG00000198160	MIER1 transcriptional regulator	1	66924895-66988619	Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA019589, HPA050306	Enhanced		Enhanced	Nucleoplasm	Glioma:6.18e-8 (favourable), Colorectal cancer:4.96e-4 (favourable)	Expressed in all	Expressed in all			bone marrow: 63.1	Expressed in all		
UNC13B	hmunc13, UNC13, Unc13h2	ENSG00000198722	Unc-13 homolog B	9	35161992-35405338	Predicted intracellular proteins	Evidence at protein level	HPA024493, HPA062300	Approved		Supported	Nucleoplasm<br>Golgi apparatus<br>Vesicles	Renal cancer:4.34e-11 (favourable), Lung cancer:6.59e-5 (favourable), Head and neck cancer:8.51e-5 (favourable), Pancreatic cancer:3.71e-4 (favourable), Colorectal cancer:4.96e-4 (favourable)	Expressed in all	Mixed			lung: 58.2	Mixed		
EPHB2	DRT, EPHT3, ERK, Hek5, Tyro5	ENSG00000133216	EPH receptor B2	1	22710839-22921500	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	CAB013647, HPA071200	Approved		Supported	Nucleus<br>Plasma membrane	Endometrial cancer:1.05e-5 (unfavourable), Colorectal cancer:4.98e-4 (favourable)	Tissue enhanced	Mixed			rectum: 27.3	Cell line enhanced		HUVEC TERT2: 71.2;TIME: 69.5
CNOT7	CAF1	ENSG00000198791	CCR4-NOT transcription complex subunit 7	8	17224964-17246878	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA069543			Supported	Nuclear bodies	Colorectal cancer:4.99e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 112.7	Expressed in all		
MRPS35	MDS023, MRPS28	ENSG00000061794	Mitochondrial ribosomal protein S35	12	27710773-27756295	Predicted intracellular proteins, Ribosomal proteins	Evidence at protein level	HPA038513	Enhanced		Approved	Mitochondria<br>Cytosol	Renal cancer:1.51e-5 (favourable), Liver cancer:1.64e-4 (unfavourable), Colorectal cancer:5.01e-4 (favourable), Breast cancer:9.41e-4 (unfavourable)	Expressed in all	Expressed in all			kidney: 78.7	Expressed in all		
NAT1	AAC1	ENSG00000171428	N-acetyltransferase 1	8	18170477-18223689	Enzymes, Predicted intracellular proteins	Evidence at protein level	CAB017782, HPA043704	Approved				Colorectal cancer:5.07e-4 (favourable)	Tissue enriched	Mixed			epididymis: 18.4	Mixed		
FARS2	dJ236A3.1, FARS1	ENSG00000145982	Phenylalanyl-tRNA synthetase 2, mitochondrial	6	5261044-5771580	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA018148, HPA028836	Approved		Approved	Plasma membrane	Renal cancer:1.24e-6 (favourable), Colorectal cancer:5.14e-4 (favourable)	Expressed in all	Expressed in all			fallopian tube: 24.5	Expressed in all		
CDKN1B	KIP1, P27KIP1	ENSG00000111276	Cyclin dependent kinase inhibitor 1B	12	12715058-12722371	Cancer-related genes, Disease related genes, Predicted intracellular proteins	Evidence at protein level	CAB003691, CAB021888, HPA059086	Approved		Supported	Nucleus<br>Vesicles	Liver cancer:3.25e-4 (unfavourable), Colorectal cancer:5.15e-4 (favourable), Renal cancer:8.39e-4 (unfavourable)	Expressed in all	Expressed in all			ovary: 73.1	Mixed		
ERLIN2	C8orf2, Erlin-2, NET32, SPFH2, SPG18	ENSG00000147475	ER lipid raft associated 2	8	37736599-37759101	Disease related genes, Predicted secreted proteins	Evidence at protein level	HPA002025, CAB014894	Enhanced		Supported	Endoplasmic reticulum	Renal cancer:6.67e-6 (favourable), Glioma:1.96e-4 (unfavourable), Colorectal cancer:5.16e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 80.9	Expressed in all		
CDS1		ENSG00000163624	CDP-diacylglycerol synthase 1	4	84582979-84651338	Enzymes, Predicted membrane proteins	Evidence at protein level	HPA036187, HPA064546	Enhanced		Approved	Nucleus<br>Nuclear membrane	Renal cancer:0.00e+0 (favourable), Colorectal cancer:5.22e-4 (favourable)	Expressed in all	Mixed			fallopian tube: 49.6	Cell line enhanced		CAPAN-2: 39.2;hTCEpi: 39.6;SK-BR-3: 44.9
CYB5A	CYB5	ENSG00000166347	Cytochrome b5 type A	18	74250847-74292016	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	CAB006333, HPA047548, HPA058547	Enhanced		Approved	Vesicles<br>Cytosol	Liver cancer:4.15e-4 (favourable), Colorectal cancer:5.23e-4 (favourable)	Expressed in all	Expressed in all			liver: 1260.1	Cell line enhanced		ASC diff: 766.9
CPT2	CPT1, CPTASE	ENSG00000157184	Carnitine palmitoyltransferase 2	1	53196429-53214197	Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA028201, HPA028202, HPA028214	Enhanced		Supported	Nucleoplasm<br>Nucleoli<br>Mitochondria	Renal cancer:1.46e-12 (favourable), Colorectal cancer:5.27e-4 (favourable)	Expressed in all	Expressed in all			liver: 25.9	Expressed in all		
NCBP1	CBP80, NCBP, Sto1	ENSG00000136937	Nuclear cap binding protein subunit 1	9	97633626-97673748	Predicted intracellular proteins, Transporters	Evidence at protein level	HPA042411, HPA049031	Enhanced		Supported	Nucleoplasm<br>Cytosol	Prostate cancer:4.17e-4 (unfavourable), Colorectal cancer:5.28e-4 (favourable)	Expressed in all	Expressed in all			testis: 31.5	Expressed in all		
HLA-DRA	HLA-DRA1	ENSG00000204287	Major histocompatibility complex, class II, DR alpha	6	32439842-32445046	Plasma proteins, Predicted membrane proteins	Evidence at protein level	CAB002798, CAB015402, HPA050162, HPA053176	Enhanced				Colorectal cancer:5.30e-4 (favourable)	Expressed in all	Tissue enhanced		lung: 731.8;lymph node: 894.1	tonsil: 476.7	Cell line enhanced		Daudi: 254.2;HDLM-2: 588.3;REH: 234.5;U-698: 247.8;U-87 MG: 236.0
TIGD6	DKFZp761E2110	ENSG00000164296	Tigger transposable element derived 6	5	149993118-150001167	Predicted intracellular proteins	Evidence at protein level	HPA044599	Uncertain		Approved	Nucleoplasm<br>Vesicles<br>Actin filaments	Colorectal cancer:5.35e-4 (favourable), Pancreatic cancer:5.88e-4 (favourable)	Expressed in all	Tissue enhanced		parathyroid gland: 21.4	testis: 6.7	Mixed		
ABHD18	C4orf29, FLJ21106	ENSG00000164074	Abhydrolase domain containing 18	4	127965306-128039711	Predicted intracellular proteins	Evidence at protein level	HPA050168, HPA051676	Approved		Approved	Nuclear membrane	Colorectal cancer:5.35e-4 (favourable), Urothelial cancer:9.13e-4 (favourable)	Expressed in all	Expressed in all			heart muscle: 11.0	Expressed in all		
ELP2	FLJ10879, STATIP1, StIP	ENSG00000134759	Elongator acetyltransferase complex subunit 2	18	36129444-36180556	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA002996, CAB020835	Approved		Supported	Nucleus<br>Nuclear bodies<br>Cytosol	Colorectal cancer:5.41e-4 (favourable)	Expressed in all	Expressed in all			ovary: 59.6	Expressed in all		
CCL24	Ckb-6, eotaxin-2, MPIF-2, MPIF2, SCYA24	ENSG00000106178	C-C motif chemokine ligand 24	7	75811665-75823356	Predicted secreted proteins	Evidence at protein level						Colorectal cancer:5.41e-4 (favourable)	Tissue enhanced	Tissue enhanced		rectum: 111.7;small intestine: 96.2	urinary bladder: 51.4	Cell line enhanced		CAPAN-2: 4.8;RH-30: 2.0;U-2 OS: 5.9
GIPC2	FLJ20075, SEMCAP-2	ENSG00000137960	GIPC PDZ domain containing family member 2	1	77979542-78138449	Predicted intracellular proteins	Evidence at protein level	HPA051212, HPA062684	Approved		Approved	Nucleus<br>Cytosol	Renal cancer:2.11e-6 (favourable), Colorectal cancer:5.49e-4 (favourable)	Mixed	Mixed			kidney: 41.6	Cell line enhanced		Hep G2: 15.3;HUVEC TERT2: 19.2
AADAT	KAT2, KATII, KYAT2	ENSG00000109576	Aminoadipate aminotransferase	4	170060222-170091699	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA037502	Enhanced		Approved	Vesicles<br>Plasma membrane	Colorectal cancer:5.59e-4 (favourable)	Expressed in all	Tissue enhanced		liver: 34.7	prostate: 23.4	Mixed		
PKN2	Pak-2, PRK2, PRKCL2, STK7	ENSG00000065243	Protein kinase N2	1	88684222-88836255	Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA034861, HPA057913	Approved		Supported	Nucleoplasm<br>Plasma membrane<br>Intermediate filaments<br>Cytosol	Colorectal cancer:5.67e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 48.8	Expressed in all		
DHX15	DBP1, DDX15, HRH2, PRP43, PRPF43, PrPp43p	ENSG00000109606	DEAH-box helicase 15	4	24517441-24584550	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA047047	Approved		Enhanced	Nuclear speckles	Colorectal cancer:5.74e-4 (favourable)	Expressed in all	Expressed in all			parathyroid gland: 102.7	Expressed in all		
SLAIN2	FLJ21611, KIAA1458	ENSG00000109171	SLAIN motif family member 2	4	48341322-48426212	Predicted intracellular proteins	Evidence at protein level	HPA035824, HPA063599	Approved		Enhanced	Centrosome<br>Cytosol	Renal cancer:1.50e-4 (favourable), Colorectal cancer:5.77e-4 (favourable), Pancreatic cancer:6.71e-4 (unfavourable), Endometrial cancer:7.98e-4 (favourable)	Expressed in all	Expressed in all			testis: 72.9	Expressed in all		
ALG1	CDG1K, HMAT1, HMT-1, Mat-1	ENSG00000033011	ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase	16	5033960-5087379	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA060392	Approved		Approved	Nucleoli fibrillar center<br>Endoplasmic reticulum	Colorectal cancer:5.79e-4 (favourable), Testis cancer:6.93e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 33.4	Expressed in all		
EHF	ESE3, ESEJ	ENSG00000135373	ETS homologous factor	11	34621093-34661057	Predicted intracellular proteins, Predicted secreted proteins, Transcription factors	Evidence at protein level	HPA050923, HPA060734	Enhanced		Supported	Nucleoplasm<br>Golgi apparatus	Colorectal cancer:5.81e-4 (favourable), Pancreatic cancer:6.94e-4 (unfavourable)	Mixed	Mixed			esophagus: 228.3	Cell line enhanced		CAPAN-2: 122.7;HaCaT: 85.2;HBEC3-KT: 76.2;RT4: 172.3;T-47d: 201.8
SERPINA1	A1A, A1AT, AAT, alpha-1-antitrypsin, alpha1AT, PI, PI1	ENSG00000197249	Serpin family A member 1	14	94376747-94390693	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA000927, HPA001292, CAB013211, CAB016648, CAB073396	Enhanced		Enhanced	Vesicles	Breast cancer:1.61e-5 (favourable), Colorectal cancer:5.86e-4 (favourable)	Tissue enriched	Tissue enriched	20	liver: 17144.0	small intestine: 857.0	Cell line enriched	6	Hep G2: 3254.2
PAK1		ENSG00000149269	P21 (RAC1) activated kinase 1	11	77321707-77474635	Enzymes, Plasma proteins, Predicted intracellular proteins, RAS pathway related proteins	Evidence at protein level	HPA003565, CAB005312	Enhanced	Supported	Enhanced	Plasma membrane<br>Cytosol	Glioma:9.48e-5 (unfavourable), Colorectal cancer:5.87e-4 (favourable)	Expressed in all	Expressed in all			cerebral cortex: 184.2	Mixed		
APAF1	APAF-1, CED4	ENSG00000120868	Apoptotic peptidase activating factor 1	12	98645141-98735433	Cancer-related genes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA031373, CAB069399	Enhanced		Approved	Nucleoplasm<br>Golgi apparatus<br>Cytosol	Colorectal cancer:5.90e-4 (favourable)	Expressed in all	Mixed			bone marrow: 21.7	Expressed in all		
DDAH1	DDAH	ENSG00000153904	Dimethylarginine dimethylaminohydrolase 1	1	85318481-85578363	Enzymes, Plasma proteins, Predicted intracellular proteins	Evidence at protein level	HPA006308	Enhanced		Approved	Nucleoli<br>Plasma membrane<br>Cytosol	Renal cancer:5.21e-6 (favourable), Colorectal cancer:5.99e-4 (favourable)	Expressed in all	Mixed			kidney: 121.4	Cell line enhanced		SH-SY5Y: 122.6
FAM35A	bA163M19.1, FAM35A1, MGC5560	ENSG00000122376	Family with sequence similarity 35 member A	10	87094161-87191468	Predicted intracellular proteins, Predicted membrane proteins	Evidence at protein level	HPA036582	Uncertain		Approved	Nucleoplasm<br>Actin filaments	Glioma:5.44e-4 (favourable), Colorectal cancer:6.06e-4 (favourable)	Expressed in all	Expressed in all			thyroid gland: 38.8	Expressed in all		
SMPDL3A	ASM3A, ASML3a, FLJ20177, yR36GH4.1	ENSG00000172594	Sphingomyelin phosphodiesterase acid like 3A	6	122789049-122809720	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	HPA030148	Uncertain		Approved	Nucleus<br>Nucleoli<br>Mitochondria	Colorectal cancer:6.11e-4 (favourable)	Expressed in all	Expressed in all			small intestine: 81.9	Mixed		
UBXN8	D8S2298E, REP8, UBXD6	ENSG00000104691	UBX domain protein 8	8	30732247-30767006	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	HPA017725, HPA077538	Approved		Supported	Nucleoplasm<br>Nucleoli<br>Endoplasmic reticulum	Renal cancer:5.25e-5 (unfavourable), Colorectal cancer:6.13e-4 (favourable)	Expressed in all	Expressed in all			ovary: 109.4	Expressed in all		
ASRGL1	ALP, ALP1, FLJ22316	ENSG00000162174	Asparaginase like 1	11	62337448-62393412	Enzymes, Predicted intracellular proteins	Evidence at protein level	HPA029725, HPA055572, CAB070192	Enhanced		Approved	Nucleoplasm<br>Microtubules	Renal cancer:4.32e-7 (favourable), Endometrial cancer:1.56e-5 (favourable), Colorectal cancer:6.14e-4 (favourable), Liver cancer:9.46e-4 (unfavourable)	Expressed in all	Expressed in all			cervix, uterine: 181.6	Cell line enhanced		HAP1: 86.4;SCLC-21H: 132.5
RBM7		ENSG00000076053	RNA binding motif protein 7	11	114400030-114414203	Predicted intracellular proteins	Evidence at protein level	HPA013993, HPA048003	Supported		Enhanced	Nucleoplasm	Pancreatic cancer:1.17e-4 (unfavourable), Colorectal cancer:6.14e-4 (favourable)	Expressed in all	Expressed in all			bone marrow: 40.8	Expressed in all		
RPUSD4	FLJ14494	ENSG00000165526	RNA pseudouridylate synthase domain containing 4	11	126202094-126211692	Predicted intracellular proteins	Evidence at protein level	HPA039689	Approved		Approved	Nucleoplasm<br>Mitochondria	Liver cancer:1.24e-4 (unfavourable), Colorectal cancer:6.14e-4 (favourable)	Expressed in all	Expressed in all			skeletal muscle: 44.9	Expressed in all		
RNASEH2A	AGS4, RNASEHI, RNHIA, RNHL	ENSG00000104889	Ribonuclease H2 subunit A	19	12802063-12813638	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA042692			Enhanced	Nucleus<br>Cytosol	Renal cancer:6.29e-6 (unfavourable), Liver cancer:8.72e-5 (unfavourable), Cervical cancer:1.18e-4 (favourable), Ovarian cancer:1.22e-4 (favourable), Colorectal cancer:6.18e-4 (favourable)	Expressed in all	Expressed in all			testis: 26.5	Expressed in all		
HARS2	HARSL, HARSR, HO3	ENSG00000112855	Histidyl-tRNA synthetase 2, mitochondrial	5	140691426-140699291	Disease related genes, Enzymes, Potential drug targets, Predicted secreted proteins	Evidence at protein level	HPA035941	Approved		Approved	Cytosol	Liver cancer:2.92e-4 (unfavourable), Colorectal cancer:6.19e-4 (favourable), Breast cancer:6.49e-4 (unfavourable)	Expressed in all	Expressed in all			parathyroid gland: 36.5	Expressed in all		
TRIM33	FLJ11429, KIAA1113, PTC7, RFG7, TF1G, TIF1G, TIF1GAMMA, TIFGAMMA	ENSG00000197323	Tripartite motif containing 33	1	114392777-114511160	Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins	Evidence at protein level	HPA004345	Supported		Approved	Nucleoplasm<br>Vesicles	Colorectal cancer:6.20e-4 (favourable), Head and neck cancer:8.93e-4 (favourable)	Expressed in all	Expressed in all			testis: 46.2	Expressed in all		
COX18	FLJ38991	ENSG00000163626	COX18, cytochrome c oxidase assembly factor	4	73052362-73069755	Predicted membrane proteins	Evidence at protein level	HPA046772, HPA049489	Enhanced				Renal cancer:8.22e-7 (favourable), Colorectal cancer:6.31e-4 (favourable)	Expressed in all	Mixed			thyroid gland: 5.4	Expressed in all		
KDM1A	AOF2, BHC110, KDM1, KIAA0601, LSD1	ENSG00000004487	Lysine demethylase 1A	1	23019448-23083689	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	CAB005884, HPA053660	Supported		Enhanced	Nucleoplasm<br>Cytosol	Liver cancer:4.47e-12 (unfavourable), Colorectal cancer:6.31e-4 (favourable)	Expressed in all	Expressed in all			testis: 163.3	Expressed in all		
